event,class,featureName,eventType
event,behaviorspecification,nodes,add
event,stimulus,name,set
event,stimulus,ports,add
event,display,name,set
event,display,ports,add
event,structurednode,ports,add
event,structurednode,processes,add
event,structurednode,nchannels,add
event,port,pchannels,add
event,port,portextension,set
event,port,name,set
event,process,name,set
event,channel,pfrom,set
event,channel,pto,set
event,channel,nfrom,set
event,channel,nto,set
event,channel,name,set
event,channel,rendezvous,set
event,channel,queuesize,set
event,channel,message,set
event,message,name,set
event,message,entry,add
event,entry,name,set
event,entry,type,set
event,structurednode,name,set
event,structurednode,ports,remove
event,process,processextension,set
event,behaviorspecification,name,set
